	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
PDGFRL	4.95222530040909e-41	0.360453206254846	0.758	0.464	9.90445060081819e-38	T/NK3	PDGFRL
PDGFA	7.64758338321245e-41	0.520965109620982	0.671	0.539	1.52951667664249e-37	T/NK3	PDGFA
ZCCHC12	3.19202759399657e-40	0.312899571400458	0.441	0.576	6.38405518799314e-37	T/NK3	ZCCHC12
COL12A1	9.53598265920091e-40	0.311567276798359	0.584	0.294	1.90719653184018e-36	T/NK3	COL12A1
IFI27	5.50476732524187e-39	1.26993288499433	0.733	0.774	1.10095346504837e-35	T/NK3	IFI27
HOXA7	1.16883904341003e-38	0.321155747589604	0.683	0.43	2.33767808682005e-35	T/NK3	HOXA7
KCNK6	3.49910954918076e-38	0.377697372196989	0.54	0.764	6.99821909836153e-35	T/NK3	KCNK6
CALCRL	9.11338716687772e-38	0.488862344226266	0.882	0.821	1.82267743337554e-34	T/NK3	CALCRL
ARHGAP29	1.3270614702759e-37	0.306582551071577	0.807	0.759	2.6541229405518e-34	T/NK3	ARHGAP29
CTNNAL1	2.66509866836529e-37	0.585624153264132	0.752	0.691	5.33019733673058e-34	T/NK3	CTNNAL1
SLC7A2	4.73251707168611e-37	0.269001020237227	0.491	0.606	9.46503414337223e-34	T/NK3	SLC7A2
LIFR	8.41644995622752e-37	0.74105350550131	0.578	0.748	1.6832899912455e-33	T/NK3	LIFR
CA12	1.31307208530463e-36	0.294707024038226	0.578	0.353	2.62614417060925e-33	T/NK3	CA12
BICC1	2.57492379952254e-36	0.295870716526539	0.795	0.444	5.14984759904508e-33	T/NK3	BICC1
SNHG19	4.47154636674252e-36	0.357158400760269	0.571	0.64	8.94309273348504e-33	T/NK3	SNHG19
RBPMS2	4.99741679016504e-35	0.2761659062532	0.565	0.481	9.99483358033008e-32	T/NK3	RBPMS2
PHLDB2	2.07526912035822e-34	0.403451926187419	0.839	0.703	4.15053824071644e-31	T/NK3	PHLDB2
ABCA10	5.49042209272417e-34	0.409756323064424	0.727	0.559	1.09808441854483e-30	T/NK3	ABCA10
CDKN1A	6.20734308752206e-34	1.17015128690455	0.888	0.786	1.24146861750441e-30	T/NK3	CDKN1A
HSPB1	1.18336046143406e-33	1.05835299399453	0.919	0.705	2.36672092286812e-30	T/NK3	HSPB1
DYRK3	1.99081288047765e-33	0.252826588115973	0.503	0.667	3.9816257609553e-30	T/NK3	DYRK3
SLC25A25	3.91927949160872e-33	0.393338005788818	0.466	0.555	7.83855898321744e-30	T/NK3	SLC25A25
TSHZ2	5.23156961817187e-33	0.419846693353397	0.677	0.654	1.04631392363437e-29	T/NK3	TSHZ2
SPON1	5.44890885068659e-33	0.288007209921633	0.373	0.486	1.08978177013732e-29	T/NK3	SPON1
GADD45B	5.9558690778994e-32	1.23418447095989	0.957	0.885	1.19117381557988e-28	T/NK3	GADD45B
FHL2	1.78062499624961e-31	0.29865410980739	0.764	0.61	3.56124999249923e-28	T/NK3	FHL2
TCEAL2	1.85071438881139e-31	0.268631205920591	0.857	0.871	3.70142877762277e-28	T/NK3	TCEAL2
MT1A	2.2516525932278e-31	0.934257286213321	0.634	0.499	4.5033051864556e-28	T/NK3	MT1A
TTLL7	2.61746704208827e-30	0.251820499878328	0.87	0.609	5.23493408417654e-27	T/NK3	TTLL7
EFNB2	5.03775959860772e-30	0.276220389530384	0.652	0.759	1.00755191972154e-26	T/NK3	EFNB2
TCEA3	8.86896236308361e-30	0.303384413661991	0.522	0.55	1.77379247261672e-26	T/NK3	TCEA3
MT1M	9.3412601332422e-30	1.05214830752256	0.708	0.581	1.86825202664844e-26	T/NK3	MT1M
UAP1	1.20580295809843e-29	0.572340104896247	0.876	0.796	2.41160591619685e-26	T/NK3	UAP1
JAM2	1.2324759718411e-29	0.385166209535089	0.646	0.675	2.4649519436822e-26	T/NK3	JAM2
HES1	1.5827394307996e-29	0.73812337362378	0.689	0.662	3.1654788615992e-26	T/NK3	HES1
PTGR1	1.69210279519507e-29	0.373606026125926	0.565	0.602	3.38420559039015e-26	T/NK3	PTGR1
RRAD	2.74098479915855e-29	0.861712135465517	0.708	0.449	5.48196959831711e-26	T/NK3	RRAD
NECTIN2	3.51835899491586e-29	0.260534757121673	0.472	0.621	7.03671798983172e-26	T/NK3	NECTIN2
QPRT	8.15571855953654e-29	0.390902429559484	0.528	0.499	1.63114371190731e-25	T/NK3	QPRT
MARCKSL1	2.12918920316277e-28	0.660411685941692	0.77	0.765	4.25837840632553e-25	T/NK3	MARCKSL1
RND3	2.58772970699404e-28	0.542233148661254	0.72	0.713	5.17545941398808e-25	T/NK3	RND3
ABCA9	3.10865311282983e-28	0.28777917791897	0.652	0.505	6.21730622565967e-25	T/NK3	ABCA9
ZDBF2	4.16265701210409e-28	0.340847593186117	0.584	0.777	8.32531402420818e-25	T/NK3	ZDBF2
FRZB	4.25001047977703e-28	0.443008090560805	0.789	0.598	8.50002095955406e-25	T/NK3	FRZB
CD34	1.30065607410377e-27	0.337981946140359	0.758	0.59	2.60131214820754e-24	T/NK3	CD34
ITGA8	1.7281440805051e-27	0.341410571319623	0.863	0.871	3.4562881610102e-24	T/NK3	ITGA8
MSX1	1.77278993507846e-27	0.256245093615654	0.627	0.503	3.54557987015691e-24	T/NK3	MSX1
PREX2	2.17478943294934e-27	0.277607518894729	0.702	0.612	4.34957886589867e-24	T/NK3	PREX2
IGF1	3.06514503918529e-27	0.324122455875116	0.602	0.846	6.13029007837058e-24	T/NK3	IGF1
LDB2	3.16150129069689e-27	0.396787714725792	0.677	0.712	6.32300258139378e-24	T/NK3	LDB2
JAG1	3.7835297102589e-27	0.447058264899195	0.783	0.483	7.5670594205178e-24	T/NK3	JAG1
CRIM1	4.65113971856465e-27	0.667990314577932	0.671	0.637	9.30227943712929e-24	T/NK3	CRIM1
PLSCR4	8.48893358149737e-27	0.254813543026157	0.72	0.582	1.69778671629947e-23	T/NK3	PLSCR4
CLMN	2.37008832930916e-26	0.300533450833512	0.621	0.688	4.74017665861832e-23	T/NK3	CLMN
CXCL14	2.48872278254575e-26	0.44970313197249	0.677	0.725	4.97744556509149e-23	T/NK3	CXCL14
ABLIM1	2.72101235473174e-26	0.606507249627807	0.72	0.674	5.44202470946347e-23	T/NK3	ABLIM1
IER2	4.88815316042609e-26	1.05381384930709	1	0.983	9.77630632085218e-23	T/NK3	IER2
TNFRSF10D	7.69389194697244e-26	0.322208598489002	0.801	0.757	1.53877838939449e-22	T/NK3	TNFRSF10D
CAMK2N1	5.97256564756741e-25	0.515271333875787	0.758	0.628	1.19451312951348e-21	T/NK3	CAMK2N1
DNAJC18	1.39032674580743e-24	0.326078163319337	0.534	0.587	2.78065349161487e-21	T/NK3	DNAJC18
ARL4D	1.52952469949508e-24	0.375537334489766	0.609	0.717	3.05904939899015e-21	T/NK3	ARL4D
LAPTM4B	5.34784290309833e-24	0.279462954768872	0.528	0.535	1.06956858061967e-20	T/NK3	LAPTM4B
ATF3	6.20043807166199e-24	1.01871734961419	0.938	0.847	1.2400876143324e-20	T/NK3	ATF3
APOLD1	7.40833371761754e-24	0.743442835170155	0.689	0.655	1.48166674352351e-20	T/NK3	APOLD1
CFAP361	7.69739881560691e-24	0.441402783204446	0.658	0.707	1.53947976312138e-20	T/NK3	CFAP36
PPFIBP1	2.44736846862159e-23	0.338622010435944	0.64	0.624	4.89473693724318e-20	T/NK3	PPFIBP1
LDLR	5.04168168605832e-23	0.482415162877826	0.714	0.795	1.00833633721166e-19	T/NK3	LDLR
NNMT	5.54665214745155e-23	0.420411294458826	0.559	0.602	1.10933042949031e-19	T/NK3	NNMT
LPP	5.70536563044167e-23	0.815334369936489	0.789	0.825	1.14107312608833e-19	T/NK3	LPP
TIMP1	2.11180238810301e-22	0.828348750076485	0.87	0.783	4.22360477620603e-19	T/NK3	TIMP1
AHCYL1	2.97491569162839e-22	0.427695784497255	0.64	0.713	5.94983138325678e-19	T/NK3	AHCYL1
MAOB	4.86123838221707e-22	0.294073256686748	0.422	0.283	9.72247676443414e-19	T/NK3	MAOB
TUBA1A	1.42968895324069e-21	0.907845386247634	0.913	0.881	2.85937790648139e-18	T/NK3	TUBA1A
TM4SF1	1.92610163635741e-21	1.1968828021641	0.584	0.607	3.85220327271483e-18	T/NK3	TM4SF1
MYOM1	2.16261232606562e-21	0.257625869536463	0.609	0.409	4.32522465213125e-18	T/NK3	MYOM1
KRT19	3.22031473493376e-21	0.560202671312583	0.466	0.305	6.44062946986752e-18	T/NK3	KRT19
SPTBN1	3.57321634374303e-21	0.633242716311262	0.938	0.804	7.14643268748607e-18	T/NK3	SPTBN1
NET1	4.12414133252884e-21	0.605915449324223	0.702	0.575	8.24828266505768e-18	T/NK3	NET1
ITGA6	4.88949245344396e-21	0.295950757516011	0.478	0.684	9.77898490688791e-18	T/NK3	ITGA6
FLNA	5.07194169124057e-21	0.72752821231648	0.876	0.744	1.01438833824811e-17	T/NK3	FLNA
GPNMB	1.23220487555482e-20	0.464614970343715	0.671	0.539	2.46440975110963e-17	T/NK3	GPNMB
FN1	6.7469703880368e-20	0.36218744153476	0.801	0.563	1.34939407760736e-16	T/NK3	FN1
IGF1R	2.03451281904709e-19	0.325733535518193	0.758	0.663	4.06902563809418e-16	T/NK3	IGF1R
ICAM1	4.22008505037797e-19	0.306358010433712	0.478	0.71	8.44017010075594e-16	T/NK3	ICAM1
H1F0	5.44817690124744e-19	0.414002032145426	0.658	0.627	1.08963538024949e-15	T/NK3	H1F0
GBP1	1.57720158986243e-18	0.363839909198263	0.634	0.778	3.15440317972486e-15	T/NK3	GBP1
GADD45A1	1.60968962454879e-18	0.60230799582802	0.683	0.737	3.21937924909759e-15	T/NK3	GADD45A
CYSTM1	2.30073791450298e-18	0.522801762042245	0.814	0.691	4.60147582900596e-15	T/NK3	CYSTM1
KCNAB1	3.12457591213387e-18	0.32939622810178	0.77	0.456	6.24915182426773e-15	T/NK3	KCNAB1
IL1R11	3.50073298989744e-18	0.292744280127386	0.627	0.709	7.00146597979487e-15	T/NK3	IL1R1
BAG3	3.62713517116615e-18	0.317136680266951	0.528	0.582	7.25427034233229e-15	T/NK3	BAG3
SPRY11	3.89805648739552e-18	0.59003672500898	0.776	0.811	7.79611297479105e-15	T/NK3	SPRY1
RGS16	4.31015409732955e-18	0.320390290788376	0.54	0.629	8.6203081946591e-15	T/NK3	RGS16
PER2	4.4933216348332e-18	0.401262290943679	0.696	0.766	8.9866432696664e-15	T/NK3	PER2
KDM5B	7.29396840062112e-18	0.426334549901581	0.559	0.588	1.45879368012422e-14	T/NK3	KDM5B
B3GALNT2	1.01376707500853e-17	0.273247896488609	0.528	0.634	2.02753415001706e-14	T/NK3	B3GALNT2
PMEPA1	1.91529910288988e-17	0.351721554631104	0.54	0.585	3.83059820577975e-14	T/NK3	PMEPA1
EVA1C	2.73287457586378e-17	0.320200686633005	0.702	0.546	5.46574915172755e-14	T/NK3	EVA1C
COPRS	4.44224208643704e-17	0.31451880939483	0.733	0.737	8.88448417287409e-14	T/NK3	COPRS
TXNIP	4.48278057904091e-17	0.871954695801537	0.95	0.905	8.96556115808182e-14	T/NK3	TXNIP
ZNF141	9.27606275883364e-17	0.372344599509276	0.596	0.752	1.85521255176673e-13	T/NK3	ZNF141
ISYNA1	1.01552896003259e-16	0.25049717456221	0.596	0.68	2.03105792006517e-13	T/NK3	ISYNA1
SLC12A2	3.05399673493198e-16	0.339426403506022	0.609	0.665	6.10799346986396e-13	T/NK3	SLC12A2
CETN2	3.17879643691007e-16	0.322025961136741	0.646	0.697	6.35759287382015e-13	T/NK3	CETN2
ADGRL4	1.6320508512712e-15	0.294543231217431	0.839	0.626	3.26410170254239e-12	T/NK3	ADGRL4
TPM4	2.92097495392569e-15	0.588569025355035	0.963	0.94	5.84194990785138e-12	T/NK3	TPM4
THBS1	6.33100368422575e-15	0.464148253539147	0.727	0.763	1.26620073684515e-11	T/NK3	THBS1
PDLIM5	8.18144252808743e-15	0.48435273519679	0.845	0.782	1.63628850561749e-11	T/NK3	PDLIM5
PEG10	8.58967787913152e-15	0.40683324581643	0.708	0.526	1.7179355758263e-11	T/NK3	PEG10
SLMAP	1.33863449565277e-14	0.418804279284344	0.839	0.802	2.67726899130555e-11	T/NK3	SLMAP
SEMA4A	2.16242546835063e-14	0.387971936956811	0.714	0.798	4.32485093670126e-11	T/NK3	SEMA4A
ZFP36L1	3.44600416136597e-14	0.541936374424756	0.963	0.919	6.89200832273195e-11	T/NK3	ZFP36L1
EPAS1	4.13541039274145e-14	0.396985236905273	0.77	0.853	8.2708207854829e-11	T/NK3	EPAS1
TNFSF10	4.53376347185283e-14	0.517447983651952	0.689	0.742	9.06752694370566e-11	T/NK3	TNFSF10
NUDT4	4.70413167432966e-14	0.384642148492441	0.64	0.672	9.40826334865931e-11	T/NK3	NUDT4
CD9	5.90970515286559e-14	0.50053419208559	0.863	0.653	1.18194103057312e-10	T/NK3	CD9
SPEF2	2.40835692543977e-13	0.270203259748967	0.702	0.534	4.81671385087955e-10	T/NK3	SPEF2
FBXO21	4.37713802752259e-13	0.325677624832111	0.696	0.73	8.75427605504518e-10	T/NK3	FBXO21
PPM1K	4.68809935235084e-13	0.337485224470452	0.646	0.743	9.37619870470168e-10	T/NK3	PPM1K
MT1E	6.77703179189583e-13	0.531827424527732	0.634	0.524	1.35540635837917e-09	T/NK3	MT1E
GOLGB1	7.22210278936153e-13	0.561606576746805	0.95	0.919	1.44442055787231e-09	T/NK3	GOLGB1
MYOF	1.43584166968586e-12	0.348000846688265	0.671	0.64	2.87168333937173e-09	T/NK3	MYOF
NPM1	1.46479733055174e-12	0.463675891700304	1	0.961	2.92959466110348e-09	T/NK3	NPM1
SNHG7	1.68631594215544e-12	0.447422225373321	0.702	0.662	3.37263188431087e-09	T/NK3	SNHG7
BHLHE401	1.92054696171164e-12	0.565931738693242	0.925	0.805	3.84109392342329e-09	T/NK3	BHLHE40
MIDN	4.95191521695956e-12	0.499331786668874	0.814	0.824	9.90383043391913e-09	T/NK3	MIDN
BCL3	1.55655261492546e-11	0.323506823995324	0.64	0.728	3.11310522985092e-08	T/NK3	BCL3
ADM	1.82445206417897e-11	0.444056719849793	0.671	0.554	3.64890412835794e-08	T/NK3	ADM
NUDC	1.85603137098774e-11	0.485552117329894	0.789	0.739	3.71206274197548e-08	T/NK3	NUDC
ANXA4	2.22736356552916e-11	0.251498494739192	0.671	0.733	4.45472713105832e-08	T/NK3	ANXA4
PDLIM1	2.41656443594558e-11	0.359561591173794	0.646	0.669	4.83312887189117e-08	T/NK3	PDLIM1
GADD45G	2.55858077132186e-11	0.486943931710941	0.77	0.685	5.11716154264373e-08	T/NK3	GADD45G
CCL2	2.63698896631182e-11	0.720854255216599	0.627	0.661	5.27397793262365e-08	T/NK3	CCL2
TOB11	2.68759555103703e-11	0.528943025023005	0.938	0.869	5.37519110207405e-08	T/NK3	TOB1
LBH1	3.24682279566108e-11	0.591168154744099	0.907	0.823	6.49364559132216e-08	T/NK3	LBH
GSTP1	5.44057025842996e-11	0.440139251722334	0.925	0.881	1.08811405168599e-07	T/NK3	GSTP1
KIF21A1	5.56877653601438e-11	0.340610647555465	0.745	0.773	1.11375530720288e-07	T/NK3	KIF21A
MLF1	7.10047164014361e-11	0.352895751852612	0.714	0.726	1.42009432802872e-07	T/NK3	MLF1
PHACTR21	7.83456991430086e-11	0.305473976231798	0.72	0.817	1.56691398286017e-07	T/NK3	PHACTR2
TUBB2A	8.3533385757581e-11	0.469969044605989	0.72	0.674	1.67066771515162e-07	T/NK3	TUBB2A
STOM1	9.90232887411821e-11	0.473254090337567	0.845	0.835	1.98046577482364e-07	T/NK3	STOM
TIFA1	1.45904140999216e-10	0.355345006280216	0.727	0.746	2.91808281998431e-07	T/NK3	TIFA
POLR2I	1.93166980513796e-10	0.384648183302651	0.634	0.63	3.86333961027591e-07	T/NK3	POLR2I
MIR222HG	2.34330008206742e-10	0.491085937951037	0.602	0.557	4.68660016413484e-07	T/NK3	MIR222HG
RPL10A1	3.49834552313979e-10	0.357226133008076	1	0.977	6.99669104627959e-07	T/NK3	RPL10A
BTG3	3.4997923463604e-10	0.421006207554361	0.764	0.757	6.99958469272079e-07	T/NK3	BTG3
BTBD7	3.73766503763938e-10	0.348625618857829	0.683	0.71	7.47533007527875e-07	T/NK3	BTBD7
DGKH	4.86738955309749e-10	0.272095542167432	0.671	0.697	9.73477910619498e-07	T/NK3	DGKH
NFKBIZ	7.726048466819e-10	0.535860447168631	0.901	0.908	1.5452096933638e-06	T/NK3	NFKBIZ
COQ4	7.76215911430459e-10	0.265925966732028	0.776	0.625	1.55243182286092e-06	T/NK3	COQ4
ACTG11	8.40295359573148e-10	0.409789646214705	0.994	0.973	1.6805907191463e-06	T/NK3	ACTG1
ACTN41	9.04419774503439e-10	0.541354587150304	0.795	0.721	1.80883954900688e-06	T/NK3	ACTN4
C12orf751	9.09832718932619e-10	0.578375288061642	0.888	0.734	1.81966543786524e-06	T/NK3	C12orf75
WEE1	1.25113731900236e-09	0.342349918051666	0.745	0.671	2.50227463800473e-06	T/NK3	WEE1
EPB41L2	1.85837750226179e-09	0.40115508111838	0.789	0.764	3.71675500452357e-06	T/NK3	EPB41L2
PGAP1	1.91386005346161e-09	0.365070672085889	0.602	0.629	3.82772010692322e-06	T/NK3	PGAP1
INSR	2.03114871732767e-09	0.260400932992344	0.565	0.52	4.06229743465534e-06	T/NK3	INSR
KIAA0040	2.17076850905699e-09	0.343258822878295	0.807	0.729	4.34153701811398e-06	T/NK3	KIAA0040
PRDX5	2.17429968401331e-09	0.26448869225996	0.752	0.814	4.34859936802662e-06	T/NK3	PRDX5
IMPDH2	2.48389087635619e-09	0.31264573310747	0.677	0.679	4.96778175271238e-06	T/NK3	IMPDH2
RPS81	2.83545224008154e-09	0.312997536761105	1	0.995	5.67090448016308e-06	T/NK3	RPS8
DNAJB12	3.86230406666709e-09	0.3922305474646	0.95	0.871	7.72460813333418e-06	T/NK3	DNAJB1
PDK4	3.99505386596278e-09	0.49599378333669	0.634	0.495	7.99010773192556e-06	T/NK3	PDK4
WDR60	4.09720139864788e-09	0.27858293079638	0.677	0.691	8.19440279729577e-06	T/NK3	WDR60
NUCB21	4.8334092756018e-09	0.363780965487915	0.832	0.805	9.66681855120359e-06	T/NK3	NUCB2
ING2	5.94153315037138e-09	0.295545432164352	0.696	0.726	1.18830663007428e-05	T/NK3	ING2
ALCAM	1.01050880177449e-08	0.309418216225338	0.795	0.71	2.02101760354898e-05	T/NK3	ALCAM
SNHG8	1.02214603982603e-08	0.327714509433817	0.876	0.895	2.04429207965206e-05	T/NK3	SNHG8
MT2A	1.33212714903464e-08	0.753305675006286	0.758	0.718	2.66425429806928e-05	T/NK3	MT2A
XBP1	1.77374764097721e-08	0.369550605228138	0.764	0.734	3.54749528195442e-05	T/NK3	XBP1
ZC3HAV1	5.24865923376079e-08	0.435513365079023	0.82	0.814	0.000104973184675216	T/NK3	ZC3HAV1
HIST1H4C1	1.56557001162632e-07	0.394041597092791	0.863	0.766	0.000313114002325265	T/NK3	HIST1H4C
PPA11	2.2926095238994e-07	0.252778821524024	0.665	0.692	0.000458521904779881	T/NK3	PPA1
PIK3C2A	2.47858946877505e-07	0.311252753813427	0.758	0.674	0.00049571789375501	T/NK3	PIK3C2A
GAS6	4.08802448116418e-07	0.330113714527931	0.72	0.63	0.000817604896232836	T/NK3	GAS6
ANXA2	4.97506292206904e-07	0.41264103033311	0.907	0.812	0.000995012584413809	T/NK3	ANXA2
CCND21	6.10709870137521e-07	0.299549790644537	0.839	0.868	0.00122141974027504	T/NK3	CCND2
ITM2A1	6.27749365095239e-07	0.404080607568432	0.776	0.775	0.00125549873019048	T/NK3	ITM2A
HSP90B1	1.26266901485502e-06	0.384519180572678	0.95	0.937	0.00252533802971005	T/NK3	HSP90B1
TSPAN3	1.67647663832019e-06	0.259385242267212	0.609	0.591	0.00335295327664039	T/NK3	TSPAN3
IFI6	1.76151631873758e-06	0.282791357800396	0.72	0.679	0.00352303263747515	T/NK3	IFI6
RPS51	1.90371043532198e-06	0.255454629048532	1	0.987	0.00380742087064396	T/NK3	RPS5
NFKBIA	2.98269581881723e-06	0.401631479771615	0.95	0.909	0.00596539163763446	T/NK3	NFKBIA
DZIP3	3.81366111028837e-06	0.266962130010744	0.739	0.698	0.00762732222057674	T/NK3	DZIP3
CYCS	4.48032062121145e-06	0.413488745663394	0.919	0.912	0.00896064124242289	T/NK3	CYCS
ERGIC3	1.25289151244868e-05	0.281865340197222	0.677	0.567	0.0250578302489736	T/NK3	ERGIC3
ADD3	1.48086395437661e-05	0.267488492804052	0.671	0.658	0.0296172790875323	T/NK3	ADD3
ZBTB7A	1.5890647384831e-05	0.279130756299664	0.602	0.573	0.031781294769662	T/NK3	ZBTB7A
C3	4.71430012331378e-05	0.258873932245969	0.851	0.737	0.0942860024662755	T/NK3	C3
CHD31	4.99938073702201e-05	0.332224561011204	0.814	0.77	0.0999876147404401	T/NK3	CHD3
RHOB	6.82338552123145e-05	0.331080355722529	0.82	0.782	0.136467710424629	T/NK3	RHOB
TXN	0.000143949750275092	0.31955572407401	0.795	0.748	0.287899500550184	T/NK3	TXN
XCL21	0.000171562412146298	0.316788797556925	0.41	0.373	0.343124824292595	T/NK3	XCL2
A2M	0.000240440045338982	0.317716963179161	0.851	0.813	0.480880090677964	T/NK3	A2M
AKAP9	0.000342433823539715	0.250216174691682	0.894	0.896	0.68486764707943	T/NK3	AKAP9
EIF3M	0.00037018143782288	0.261375870808486	0.839	0.832	0.74036287564576	T/NK3	EIF3M
HSPA1B	0.000737483587014918	0.252084320797169	0.925	0.853	1	T/NK3	HSPA1B
FLT1	0.000972921558269464	0.269635787385488	0.739	0.736	1	T/NK3	FLT1
CST3	0	4.83895038011136	0.991	0.727	0	MP	CST3
C1QB	0	4.45271769667377	0.98	0.578	0	MP	C1QB
CXCL8	0	4.42801650970777	0.967	0.619	0	MP	CXCL8
LYZ	0	4.30376248025387	0.967	0.544	0	MP	LYZ
CD14	0	3.84493224348581	0.981	0.565	0	MP	CD14
AIF1	0	3.73705998207176	0.965	0.777	0	MP	AIF1
PLAUR	0	3.72490072807902	0.978	0.547	0	MP	PLAUR
F13A1	0	3.43438057060511	0.993	0.569	0	MP	F13A1
FCER1G	0	3.42114226721048	0.972	0.528	0	MP	FCER1G
LYVE1	0	3.35370218403028	0.938	0.563	0	MP	LYVE1
MS4A6A	0	3.33883141984892	0.984	0.609	0	MP	MS4A6A
TYROBP	0	3.32471848947858	0.968	0.522	0	MP	TYROBP
FGL2	0	3.2517822015782	0.947	0.557	0	MP	FGL2
C5AR1	0	3.21887173632053	0.954	0.466	0	MP	C5AR1
HLA-DRA	0	3.12210231751738	0.998	0.839	0	MP	HLA-DRA
NPC2	0	3.0372243121191	0.981	0.769	0	MP	NPC2
HBEGF	0	3.03608117960495	0.978	0.801	0	MP	HBEGF
LGMN	0	3.02378999183676	0.986	0.636	0	MP	LGMN
IER3	0	2.93122200881104	0.948	0.805	0	MP	IER3
HLA-DPA1	0	2.91315053790928	0.991	0.76	0	MP	HLA-DPA1
SGK1	0	2.89877494534357	0.972	0.71	0	MP	SGK1
IL1B	0	2.84717016695864	0.869	0.531	0	MP	IL1B
HLA-DRB1	0	2.80905366591104	0.992	0.735	0	MP	HLA-DRB1
CD74	0	2.78258551573748	0.999	0.838	0	MP	CD74
CD163	0	2.75958237211046	0.947	0.554	0	MP	CD163
CTSB	0	2.68536316426545	0.958	0.697	0	MP	CTSB
CSF1R	0	2.60167705359148	0.965	0.588	0	MP	CSF1R
SAT1	0	2.40643037802701	0.996	0.934	0	MP	SAT1
HLA-DPB1	0	2.40526017698572	0.986	0.786	0	MP	HLA-DPB1
FILIP1L	0	2.3789304548091	0.955	0.622	0	MP	FILIP1L
NAMPT	0	2.36863202054963	0.968	0.915	0	MP	NAMPT
CTSS	0	2.3074492843452	0.988	0.911	0	MP	CTSS
GRN	0	2.27020933568545	0.977	0.632	0	MP	GRN
CPVL	0	2.25551541288076	0.994	0.622	0	MP	CPVL
GLUL	0	2.24109041344938	0.977	0.686	0	MP	GLUL
CD83	0	2.21992545540265	0.957	0.842	0	MP	CD83
INSIG1	0	2.15606366674437	0.984	0.768	0	MP	INSIG1
KCTD12	0	2.12413338207547	0.914	0.618	0	MP	KCTD12
VEGFA	0	2.09802990533683	0.923	0.63	0	MP	VEGFA
MAFB	0	2.04805286250749	0.865	0.445	0	MP	MAFB
HLA-DRB5	0	2.01416435893999	0.987	0.881	0	MP	HLA-DRB5
MARCKS	0	2.00740872853077	0.945	0.551	0	MP	MARCKS
ASAH1	0	1.82744192506762	0.92	0.685	0	MP	ASAH1
ETS2	0	1.74967226079408	0.885	0.762	0	MP	ETS2
TGFBI	0	1.73980494666757	0.894	0.792	0	MP	TGFBI
A2M1	0	1.72904743434502	0.862	0.797	0	MP	A2M
PTPRE	0	1.72632420585055	0.888	0.77	0	MP	PTPRE
MSR1	0	1.68524543525161	0.849	0.419	0	MP	MSR1
ATP1B1	0	1.67209539305097	0.985	0.706	0	MP	ATP1B1
NRP2	0	1.67196537280511	0.904	0.844	0	MP	NRP2
RAB31	0	1.66565204301744	0.917	0.609	0	MP	RAB31
MNDA	0	1.6566674023856	0.952	0.573	0	MP	MNDA
RBM47	0	1.61310714032052	0.964	0.54	0	MP	RBM47
CXCL16	0	1.56448632405616	0.846	0.812	0	MP	CXCL16
NCF2	0	1.48478288490492	0.931	0.49	0	MP	NCF2
LY96	0	1.47287019365532	0.957	0.674	0	MP	LY96
EPB41L3	0	1.46179389255332	0.899	0.687	0	MP	EPB41L3
C3AR1	0	1.45669899703555	0.818	0.74	0	MP	C3AR1
MFSD1	0	1.43176510084546	0.818	0.747	0	MP	MFSD1
PID1	0	1.32157854507295	0.952	0.425	0	MP	PID1
CD86	0	1.29983603900519	0.927	0.425	0	MP	CD86
TMEM176A	0	1.11071182491976	0.965	0.673	0	MP	TMEM176A
FNIP2	0	0.623656223120828	0.565	0.881	0	MP	FNIP2
CXCL2	1.48219693752374e-323	2.5659078382351	0.961	0.489	2.96439387504748e-320	MP	CXCL2
PLEK	1.97626258336499e-323	1.88034318916697	0.914	0.81	3.95252516672997e-320	MP	PLEK
MEF2C	7.11454530011395e-322	1.79894662921234	0.985	0.543	1.42290906002279e-318	MP	MEF2C
PILRA	2.58890398420813e-321	1.08322560237896	0.911	0.66	5.17780796841626e-318	MP	PILRA
ZFHX3	5.8191051767182e-320	1.62301514560151	0.925	0.49	1.16382103534364e-316	MP	ZFHX3
FUCA1	1.23367977243256e-314	1.26625108222353	0.981	0.73	2.46735954486512e-311	MP	FUCA1
GATM	2.93760928267548e-308	1.32567956340832	0.934	0.662	5.87521856535096e-305	MP	GATM
RHOB1	8.89444432624108e-305	1.94871838959249	0.945	0.721	1.77888886524822e-301	MP	RHOB
JDP2	1.30802874865547e-304	1.01988373977696	0.823	0.9	2.61605749731094e-301	MP	JDP2
LPAR6	1.43391935209927e-304	1.61704356629413	0.944	0.621	2.86783870419854e-301	MP	LPAR6
GPR155	3.31868262555164e-303	1.00509653393269	0.962	0.697	6.63736525110327e-300	MP	GPR155
TFRC	1.65982110996995e-299	2.15932903721996	0.951	0.839	3.3196422199399e-296	MP	TFRC
HLA-DQA1	6.10402022402094e-299	2.0825519043838	0.944	0.672	1.22080404480419e-295	MP	HLA-DQA1
OGFRL1	7.43978370563926e-290	1.40921258759071	0.77	0.69	1.48795674112785e-286	MP	OGFRL1
BCAT1	1.07173081479304e-288	1.18339483043774	0.857	0.562	2.14346162958607e-285	MP	BCAT1
AP1S2	5.2867596337357e-288	1.38242933619665	0.965	0.797	1.05735192674714e-284	MP	AP1S2
